Field [mT]	Moment [Am^2]	Fitted Moment [Am^2]
-9.13	-1.3540e+01	-5.8878e+00
-9.24	-1.3593e+01	-5.9686e+00
-9.35	-1.3639e+01	-6.0533e+00
-9.46	-1.3665e+01	-6.1342e+00
-9.57	-1.3698e+01	-6.2192e+00
-9.68	-1.3751e+01	-6.2999e+00
-9.79	-1.3807e+01	-6.3853e+00
-9.90	-1.3847e+01	-6.4661e+00
-10.01	-1.3879e+01	-6.5512e+00
-10.12	-1.3919e+01	-6.6314e+00
-10.23	-1.3979e+01	-6.7157e+00
-10.33	-1.4010e+01	-6.7961e+00
-10.44	-1.4042e+01	-6.8808e+00
-10.55	-1.4087e+01	-6.9613e+00
-10.65	-1.4119e+01	-7.0461e+00
-10.76	-1.4163e+01	-7.1276e+00
-10.87	-1.4210e+01	-7.2110e+00
-10.97	-1.4249e+01	-7.2929e+00
-11.08	-1.4291e+01	-7.3762e+00
-11.18	-1.4327e+01	-7.4586e+00
-11.28	-1.4360e+01	-7.5421e+00
-11.39	-1.4394e+01	-7.6251e+00
-11.49	-1.4436e+01	-7.7085e+00
-11.59	-1.4467e+01	-7.7914e+00
-11.69	-1.4512e+01	-7.8756e+00
-11.79	-1.4558e+01	-7.9589e+00
-11.90	-1.4590e+01	-8.0435e+00
-12.00	-1.4626e+01	-8.1275e+00
-12.10	-1.4667e+01	-8.2130e+00
-12.20	-1.4711e+01	-8.2978e+00
-12.30	-1.4750e+01	-8.3836e+00
-12.40	-1.4780e+01	-8.4685e+00
-12.49	-1.4821e+01	-8.5538e+00
-12.59	-1.4854e+01	-8.6394e+00
-12.69	-1.4881e+01	-8.7246e+00
-12.78	-1.4919e+01	-8.8098e+00
-12.88	-1.4966e+01	-8.8948e+00
-12.97	-1.4999e+01	-8.9809e+00
-13.07	-1.5029e+01	-9.0666e+00
-13.16	-1.5055e+01	-9.1532e+00
-13.26	-1.5084e+01	-9.2393e+00
-13.35	-1.5134e+01	-9.3260e+00
-13.45	-1.5161e+01	-9.4120e+00
-13.54	-1.5189e+01	-9.4987e+00
-13.63	-1.5219e+01	-9.5849e+00
-13.72	-1.5259e+01	-9.6721e+00
-13.81	-1.5294e+01	-9.7577e+00
-13.90	-1.5326e+01	-9.8435e+00
-13.99	-1.5367e+01	-9.9294e+00
-14.08	-1.5395e+01	-1.0015e+01
-14.17	-1.5437e+01	-1.0101e+01
-14.26	-1.5470e+01	-1.0186e+01
-14.35	-1.5501e+01	-1.0272e+01
-14.44	-1.5530e+01	-1.0356e+01
-14.52	-1.5552e+01	-1.0442e+01
-14.61	-1.5582e+01	-1.0526e+01
-14.69	-1.5619e+01	-1.0611e+01
-14.78	-1.5655e+01	-1.0695e+01
-14.86	-1.5691e+01	-1.0780e+01
-14.95	-1.5724e+01	-1.0863e+01
-15.03	-1.5758e+01	-1.0948e+01
-15.11	-1.5787e+01	-1.1031e+01
-15.20	-1.5803e+01	-1.1115e+01
-15.28	-1.5845e+01	-1.1197e+01
-15.36	-1.5878e+01	-1.1281e+01
-15.44	-1.5906e+01	-1.1364e+01
-15.52	-1.5936e+01	-1.1447e+01
-15.60	-1.5972e+01	-1.1530e+01
-15.67	-1.6008e+01	-1.1613e+01
-15.75	-1.6042e+01	-1.1695e+01
-15.83	-1.6066e+01	-1.1777e+01
-15.91	-1.6084e+01	-1.1859e+01
-15.98	-1.6108e+01	-1.1942e+01
-16.06	-1.6141e+01	-1.2023e+01
-16.13	-1.6169e+01	-1.2106e+01
-16.21	-1.6204e+01	-1.2187e+01
-16.28	-1.6248e+01	-1.2269e+01
-16.35	-1.6260e+01	-1.2350e+01
-16.42	-1.6278e+01	-1.2432e+01
-16.49	-1.6320e+01	-1.2513e+01
-16.57	-1.6341e+01	-1.2595e+01
-16.64	-1.6377e+01	-1.2676e+01
-16.71	-1.6415e+01	-1.2758e+01
-16.77	-1.6428e+01	-1.2839e+01
-16.84	-1.6465e+01	-1.2919e+01
-16.91	-1.6489e+01	-1.3000e+01
-16.98	-1.6522e+01	-1.3080e+01
-17.04	-1.6552e+01	-1.3161e+01
-17.11	-1.6586e+01	-1.3241e+01
-17.17	-1.6608e+01	-1.3322e+01
-17.24	-1.6622e+01	-1.3402e+01
-17.30	-1.6647e+01	-1.3482e+01
-17.36	-1.6665e+01	-1.3560e+01
-17.42	-1.6690e+01	-1.3639e+01
-17.49	-1.6729e+01	-1.3718e+01
-17.55	-1.6749e+01	-1.3797e+01
-17.61	-1.6774e+01	-1.3875e+01
-17.66	-1.6802e+01	-1.3953e+01
-17.72	-1.6842e+01	-1.4031e+01
-17.78	-1.6852e+01	-1.4108e+01
-17.84	-1.6888e+01	-1.4185e+01
-17.90	-1.6917e+01	-1.4262e+01
-17.95	-1.6930e+01	-1.4337e+01
-18.01	-1.6956e+01	-1.4414e+01
-18.06	-1.6971e+01	-1.4488e+01
-18.11	-1.6983e+01	-1.4563e+01
-18.17	-1.7005e+01	-1.4636e+01
-18.22	-1.7039e+01	-1.4710e+01
-18.27	-1.7062e+01	-1.4781e+01
-18.32	-1.7075e+01	-1.4854e+01
-18.37	-1.7102e+01	-1.4924e+01
-18.42	-1.7130e+01	-1.4996e+01
-18.47	-1.7153e+01	-1.5065e+01
-18.52	-1.7162e+01	-1.5135e+01
-18.56	-1.7179e+01	-1.5202e+01
-18.61	-1.7226e+01	-1.5265e+01
-18.65	-1.7242e+01	-1.5334e+01
-18.70	-1.7247e+01	-1.5398e+01
-18.74	-1.7271e+01	-1.5465e+01
-18.79	-1.7281e+01	-1.5527e+01
-18.83	-1.7304e+01	-1.5592e+01
-18.87	-1.7325e+01	-1.5652e+01
-18.91	-1.7338e+01	-1.5716e+01
-18.95	-1.7355e+01	-1.5774e+01
-18.99	-1.7380e+01	-1.5836e+01
-19.03	-1.7391e+01	-1.5891e+01
-19.07	-1.7412e+01	-1.5951e+01
-19.11	-1.7409e+01	-1.6005e+01
-19.14	-1.7437e+01	-1.6063e+01
-19.18	-1.7452e+01	-1.6114e+01
-19.21	-1.7462e+01	-1.6170e+01
-19.25	-1.7470e+01	-1.6220e+01
-19.28	-1.7488e+01	-1.6274e+01
-19.31	-1.7513e+01	-1.6321e+01
-19.35	-1.7513e+01	-1.6371e+01
-19.38	-1.7534e+01	-1.6417e+01
-19.41	-1.7548e+01	-1.6470e+01
-19.44	-1.7563e+01	-1.6510e+01
-19.47	-1.7575e+01	-1.6559e+01
-19.50	-1.7572e+01	-1.6599e+01
-19.53	-1.7587e+01	-1.6646e+01
-19.55	-1.7589e+01	-1.6682e+01
-19.58	-1.7600e+01	-1.6727e+01
-19.60	-1.7607e+01	-1.6761e+01
-19.63	-1.7618e+01	-1.6804e+01
-19.65	-1.7623e+01	-1.6837e+01
-19.68	-1.7627e+01	-1.6876e+01
-19.70	-1.7635e+01	-1.6905e+01
-19.72	-1.7655e+01	-1.6943e+01
-19.74	-1.7657e+01	-1.6970e+01
-19.76	-1.7645e+01	-1.7004e+01
-19.78	-1.7649e+01	-1.7029e+01
-19.80	-1.7646e+01	-1.7060e+01
-19.81	-1.7652e+01	-1.7083e+01
-19.83	-1.7660e+01	-1.7113e+01
-19.84	-1.7661e+01	-1.7134e+01
-19.86	-1.7673e+01	-1.7161e+01
-19.87	-1.7676e+01	-1.7179e+01
-19.89	-1.7659e+01	-1.7205e+01
-19.90	-1.7669e+01	-1.7220e+01
-19.91	-1.7664e+01	-1.7243e+01
-19.92	-1.7660e+01	-1.7255e+01
-19.94	-1.7660e+01	-1.7276e+01
-19.94	-1.7660e+01	-1.7286e+01
-19.95	-1.7664e+01	-1.7304e+01
-19.96	-1.7661e+01	-1.7311e+01
-19.97	-1.7636e+01	-1.7326e+01
-19.97	-1.7634e+01	-1.7331e+01
-19.98	-1.7621e+01	-1.7342e+01
-19.98	-1.7614e+01	-1.7347e+01
-19.99	-1.7598e+01	-1.7354e+01
-19.99	-1.7596e+01	-1.7359e+01
-19.99	-1.7489e+01	-1.7359e+01
-19.99	-1.7438e+01	-1.7354e+01
-19.98	-1.7376e+01	-1.7347e+01
-19.98	-1.7386e+01	-1.7342e+01
-19.97	-1.7310e+01	-1.7331e+01
-19.97	-1.7325e+01	-1.7326e+01
-19.96	-1.7267e+01	-1.7311e+01
-19.95	-1.7208e+01	-1.7304e+01
-19.94	-1.7178e+01	-1.7286e+01
-19.94	-1.7109e+01	-1.7276e+01
-19.92	-1.7053e+01	-1.7255e+01
-19.91	-1.7002e+01	-1.7243e+01
-19.90	-1.6962e+01	-1.7220e+01
-19.89	-1.6901e+01	-1.7205e+01
-19.87	-1.6849e+01	-1.7179e+01
-19.86	-1.6802e+01	-1.7161e+01
-19.84	-1.6748e+01	-1.7134e+01
-19.83	-1.6676e+01	-1.7113e+01
-19.81	-1.6607e+01	-1.7083e+01
-19.80	-1.6536e+01	-1.7060e+01
-19.78	-1.6485e+01	-1.7029e+01
-19.76	-1.6418e+01	-1.7004e+01
-19.74	-1.6362e+01	-1.6970e+01
-19.72	-1.6289e+01	-1.6943e+01
-19.70	-1.6225e+01	-1.6905e+01
-19.68	-1.6147e+01	-1.6876e+01
-19.65	-1.6075e+01	-1.6837e+01
-19.63	-1.6008e+01	-1.6804e+01
-19.60	-1.5923e+01	-1.6761e+01
-19.58	-1.5845e+01	-1.6727e+01
-19.55	-1.5776e+01	-1.6682e+01
-19.53	-1.5703e+01	-1.6646e+01
-19.50	-1.5612e+01	-1.6599e+01
-19.47	-1.5521e+01	-1.6559e+01
-19.44	-1.5452e+01	-1.6510e+01
-19.41	-1.5368e+01	-1.6470e+01
-19.38	-1.5278e+01	-1.6417e+01
